event_id,timestamp,property_code,person_id,direction,access_point,peep_visits,full_name,email,peep_required,peep_status,mobility_category,last_review_date,risk_status,total_vists_correct
E0000001,2025-06-01 09:42:00,NRW-QP,P100638,IN,Turnstile 1,12.0,Casey Brown,casey.brown@example.com,Yes,Revoked,Ambulatory,2025-05-22,Potential,25
E0000002,2025-06-01 20:37:00+00:00,NRW-QP,P100638,OUT,Reception,12.0,Casey Brown,casey.brown@example.com,Yes,Revoked,Ambulatory,2025-05-22,Potential,25
E0000003,2025-06-01 10:20:00,BHM-PR,P100221,IN,Reception,7.0,Rowan Hernandez,rowan.hernandez@example.com,No,Approved,Neurodivergent,2025-09-21,Not Potential,15
E0000004,2025-06-01 14:31:00,BHM-PR,P100221,OUT,Turnstile 1,7.0,Rowan Hernandez,rowan.hernandez@example.com,No,Approved,Neurodivergent,2025-09-21,Not Potential,15
E0000005,2025-06-01 10:08:00,NRW-QP,P100429,IN,Reception,19.0,Alex Davis,alex.davis@mailinator.com,Yes,Pending,Ambulatory,2025-04-20,Potential,38
E0000006,2025-06-01 14:44:00,NRW-QP,P100429,OUT,Reception,19.0,Alex Davis,alex.davis@mailinator.com,Yes,Pending,Ambulatory,2025-04-20,Potential,38
E0000007,2025-06-01 11:03:00,EDI-EX,P100327,IN,Reception,11.0,Harper Davis,harper.davis@mailinator.com,No,Revoked,Neurodivergent,2025-02-03,Not Potential,24
E0000008,2025-06-01 18:42:00,EDI-EX,P100327,OUT,Turnstile 1,11.0,Harper Davis,harper.davis@mailinator.com,No,Revoked,Neurodivergent,2025-02-03,Not Potential,24
E0000009,2025-06-01 07:08:00,NRW-QP,P100073,IN,Turnstile 1,4.0,Morgan Garcia,morgan.garcia@example.com,Yes,Approved,Ambulatory,2025-05-02,Not Potential,9
E0000010,2025-06-01 15:09:00,NRW-QP,P100073,OUT,Reception,4.0,Morgan Garcia,morgan.garcia@example.com,Yes,Approved,Ambulatory,2025-05-02,Not Potential,9
E0000011,2025-06-01 09:26:00,LDS-AR,P100517,IN,Gate B,7.0,Morgan Johnson,morgan.johnson@testmail.co,No,Approved,Ambulatory,2025-02-05,Not Potential,15
E0000012,2025-06-01 18:45:00,LDS-AR,P100517,OUT,Gate A,7.0,Morgan Johnson,morgan.johnson@testmail.co,No,Approved,Ambulatory,2025-02-05,Not Potential,15
E0000013,2025-06-01 08:01:00,GLW-CL,P100182,IN,Gate A,10.0,Charlie Brown,charlie.brown@testmail.co,No,Expired,Ambulatory,2025-08-09,Not Potential,22
E0000014,2025-06-01 18:28:00,GLW-CL,P100182,OUT,Turnstile 1,10.0,Charlie Brown,charlie.brown@testmail.co,No,Expired,Ambulatory,2025-08-09,Not Potential,22
